,,
Instance: BLAZ2,,
Generation,Optiomal Value,Time
1,16, 2920 milliseconds
2, 16, 2916 milliseconds
3, 16, 2870 milliseconds
4, 16, 2885 milliseconds
5, 16, 2948 milliseconds
6, 16, 2966 milliseconds
7, 16, 3068 milliseconds
8, 16, 2841 milliseconds
9, 16, 2907 milliseconds
10, 16, 2800 milliseconds
11, 16, 2943 milliseconds
12, 15, 3184 milliseconds
13, 15, 3583 milliseconds
14, 15, 2991 milliseconds
15, 15, 2970 milliseconds
16, 15, 3300 milliseconds
17, 15, 2927 milliseconds
18, 15, 3039 milliseconds
19, 15, 3136 milliseconds
20, 15, 3004 milliseconds
21, 15, 2888 milliseconds
22, 15, 2902 milliseconds
23, 15, 2958 milliseconds
24, 15, 3017 milliseconds
25, 15, 2816 milliseconds
26, 15, 2815 milliseconds
27, 15, 2955 milliseconds
28, 15, 2960 milliseconds
29, 15, 3001 milliseconds
30, 15, 3287 milliseconds
31, 15, 3094 milliseconds
32, 15, 3053 milliseconds
33, 15, 3174 milliseconds
34, 15, 2936 milliseconds
35, 15, 2933 milliseconds
36, 15, 2925 milliseconds
37, 15, 2972 milliseconds
38, 15, 2984 milliseconds
39, 15, 2906 milliseconds
40, 15, 2907 milliseconds
41, 15, 3053 milliseconds
42, 15, 3109 milliseconds
43, 15, 2924 milliseconds
44, 15, 2917 milliseconds
45, 15, 2962 milliseconds
46, 15, 3070 milliseconds
47, 15, 3110 milliseconds
48, 15, 2887 milliseconds
49, 15, 2870 milliseconds
50, 15, 3245 milliseconds
51, 15, 3038 milliseconds
52, 15, 2920 milliseconds
53, 15, 2849 milliseconds
54, 15, 2911 milliseconds
55, 15, 2974 milliseconds
56, 15, 2894 milliseconds
57, 15, 2868 milliseconds
58, 15, 2909 milliseconds
59, 15, 2875 milliseconds
60, 15, 3204 milliseconds
61, 15, 2934 milliseconds
62, 15, 2839 milliseconds
63, 15, 2934 milliseconds
64, 15, 2996 milliseconds
65, 15, 2947 milliseconds
66, 15, 2950 milliseconds
67, 15, 2885 milliseconds
68, 15, 3103 milliseconds
69, 15, 2989 milliseconds
70, 15, 2904 milliseconds
71, 15, 2868 milliseconds
72, 15, 2801 milliseconds
73, 15, 2956 milliseconds
74, 15, 2931 milliseconds
75, 15, 3013 milliseconds
76, 15, 2858 milliseconds
77, 15, 2886 milliseconds
78, 15, 2881 milliseconds
79, 15, 2945 milliseconds
80, 15, 2909 milliseconds
81, 15, 2894 milliseconds
82, 15, 2941 milliseconds
83, 15, 2900 milliseconds
84, 15, 2923 milliseconds
85, 15, 3319 milliseconds
86, 15, 3192 milliseconds
87, 15, 3000 milliseconds
88, 15, 3101 milliseconds
89, 15, 2969 milliseconds
90, 15, 2924 milliseconds
91, 15, 2996 milliseconds
92, 15, 3156 milliseconds
93, 15, 3290 milliseconds
94, 15, 3083 milliseconds
95, 15, 3621 milliseconds
96, 15, 3349 milliseconds
97, 15, 3052 milliseconds
98, 15, 3111 milliseconds
99, 15, 3052 milliseconds
100, 15, 3029 milliseconds
101, 15, 2993 milliseconds
102, 15, 2894 milliseconds
103, 15, 3026 milliseconds
104, 15, 2975 milliseconds
105, 15, 2951 milliseconds
106, 15, 3003 milliseconds
107, 15, 2960 milliseconds
108, 15, 3085 milliseconds
109, 15, 3030 milliseconds
110, 15, 2935 milliseconds
111, 15, 2905 milliseconds
112, 15, 2962 milliseconds
113, 15, 3052 milliseconds
114, 15, 3110 milliseconds
115, 15, 3002 milliseconds
116, 15, 2933 milliseconds
117, 15, 3035 milliseconds
118, 15, 3179 milliseconds
119, 15, 2941 milliseconds
120, 15, 2932 milliseconds
121, 15, 2876 milliseconds
122, 15, 3004 milliseconds
123, 15, 2969 milliseconds
124, 15, 2982 milliseconds
125, 15, 3000 milliseconds
126, 15, 2959 milliseconds
127, 15, 3022 milliseconds
128, 15, 3045 milliseconds
129, 15, 2995 milliseconds
130, 15, 3104 milliseconds
131, 15, 3083 milliseconds
132, 15, 3271 milliseconds
133, 15, 2949 milliseconds
134, 15, 3002 milliseconds
135, 15, 2942 milliseconds
136, 15, 3084 milliseconds
137, 15, 3015 milliseconds
138, 15, 2974 milliseconds
139, 15, 3010 milliseconds
140, 15, 3002 milliseconds
141, 15, 3052 milliseconds
142, 15, 3077 milliseconds
143, 15, 2977 milliseconds
144, 15, 3004 milliseconds
145, 15, 3081 milliseconds
146, 15, 2974 milliseconds
147, 15, 2930 milliseconds
148, 15, 3022 milliseconds
149, 15, 3050 milliseconds
150, 15, 3017 milliseconds
151, 15, 2983 milliseconds
152, 15, 2950 milliseconds
153, 15, 3033 milliseconds
154, 15, 3109 milliseconds
155, 15, 2926 milliseconds
156, 15, 3084 milliseconds
157, 15, 3041 milliseconds
158, 15, 3174 milliseconds
159, 15, 3299 milliseconds
160, 15, 2973 milliseconds
161, 15, 2902 milliseconds
162, 14, 2970 milliseconds
163, 14, 3654 milliseconds
164, 14, 3104 milliseconds
165, 14, 3037 milliseconds
166, 14, 3023 milliseconds
167, 14, 3169 milliseconds
168, 14, 3035 milliseconds
169, 14, 2911 milliseconds
170, 14, 2929 milliseconds
171, 14, 3100 milliseconds
172, 14, 3072 milliseconds
173, 14, 2957 milliseconds
174, 14, 2937 milliseconds
175, 14, 3028 milliseconds
176, 14, 3015 milliseconds
177, 14, 3014 milliseconds
178, 14, 2986 milliseconds
179, 14, 2895 milliseconds
180, 14, 2909 milliseconds
181, 14, 2853 milliseconds
182, 14, 2851 milliseconds
183, 14, 2800 milliseconds
184, 14, 2937 milliseconds
185, 14, 3036 milliseconds
186, 14, 2855 milliseconds
187, 14, 2902 milliseconds
188, 14, 2900 milliseconds
189, 14, 2751 milliseconds
190, 14, 3003 milliseconds
191, 14, 2746 milliseconds
192, 14, 2770 milliseconds
193, 14, 2944 milliseconds
194, 14, 2964 milliseconds
195, 14, 2919 milliseconds
196, 14, 2918 milliseconds
197, 14, 2802 milliseconds
198, 14, 2882 milliseconds
199, 14, 2928 milliseconds
200, 14, 2995 milliseconds
201, 14, 2824 milliseconds
202, 14, 2896 milliseconds
203, 14, 2840 milliseconds
204, 14, 2940 milliseconds
205, 14, 2819 milliseconds
206, 14, 2814 milliseconds
207, 14, 2894 milliseconds
208, 14, 2947 milliseconds
209, 14, 2920 milliseconds
210, 14, 2971 milliseconds
211, 14, 3127 milliseconds
212, 14, 2943 milliseconds
213, 14, 2948 milliseconds
214, 14, 2888 milliseconds
215, 14, 2896 milliseconds
216, 14, 2926 milliseconds
217, 14, 2915 milliseconds
218, 14, 2951 milliseconds
219, 14, 3283 milliseconds
220, 14, 2786 milliseconds
221, 14, 2911 milliseconds
222, 14, 2889 milliseconds
223, 14, 2952 milliseconds
224, 14, 2789 milliseconds
225, 14, 2839 milliseconds
226, 14, 2917 milliseconds
