Instance: BLAZ3,,
Generation,340108 millisecondsTime
1, 23, 7409 milliseconds
2, 23, 6982 milliseconds
3, 23, 7057 milliseconds
4, 23, 7036 milliseconds
5, 22, 7371 milliseconds
6, 22, 7973 milliseconds
7, 22, 7062 milliseconds
8, 22, 7151 milliseconds
9, 22, 7073 milliseconds
10, 22, 7071 milliseconds
11, 22, 7097 milliseconds
12, 22, 7011 milliseconds
13, 22, 7075 milliseconds
14, 22, 7103 milliseconds
15, 22, 7232 milliseconds
16, 22, 7327 milliseconds
17, 22, 7272 milliseconds
18, 22, 7159 milliseconds
19, 22, 6932 milliseconds
20, 22, 7340 milliseconds
21, 22, 7257 milliseconds
22, 22, 7236 milliseconds
23, 22, 7308 milliseconds
24, 22, 7118 milliseconds
25, 22, 8063 milliseconds
26, 22, 7386 milliseconds
27, 22, 7163 milliseconds
28, 22, 7268 milliseconds
29, 22, 7632 milliseconds
30, 22, 7218 milliseconds
31, 22, 7445 milliseconds
32, 22, 7154 milliseconds
33, 22, 7630 milliseconds
34, 22, 7649 milliseconds
35, 22, 7232 milliseconds
36, 22, 7088 milliseconds
37, 22, 7193 milliseconds
38, 22, 7095 milliseconds
39, 22, 7342 milliseconds
40, 22, 7397 milliseconds
41, 22, 7361 milliseconds
42, 22, 7267 milliseconds
43, 22, 7095 milliseconds
44, 22, 7182 milliseconds
45, 22, 7289 milliseconds
46, 22, 7204 milliseconds
47, 22, 7098 milliseconds
48, 22, 7261 milliseconds
49, 22, 7364 milliseconds
50, 22, 7262 milliseconds
51, 22, 7090 milliseconds
52, 22, 7208 milliseconds
53, 22, 7447 milliseconds
54, 22, 7260 milliseconds
55, 22, 7269 milliseconds
56, 22, 7533 milliseconds
57, 22, 7324 milliseconds
58, 22, 7286 milliseconds
59, 22, 7220 milliseconds
60, 22, 7267 milliseconds
61, 22, 7121 milliseconds
62, 22, 7427 milliseconds
63, 22, 7389 milliseconds
64, 22, 7311 milliseconds
65, 22, 7510 milliseconds
66, 22, 7438 milliseconds
67, 22, 7409 milliseconds
68, 22, 7383 milliseconds
69, 22, 7098 milliseconds
70, 22, 7290 milliseconds
71, 22, 7366 milliseconds
72, 22, 7436 milliseconds
73, 22, 7452 milliseconds
74, 22, 7061 milliseconds
75, 22, 7193 milliseconds
76, 22, 7276 milliseconds
77, 22, 7133 milliseconds
78, 22, 7294 milliseconds
79, 22, 7316 milliseconds
80, 22, 7231 milliseconds
81, 22, 7197 milliseconds
82, 22, 7205 milliseconds
83, 22, 7406 milliseconds
84, 22, 7216 milliseconds
85, 22, 7100 milliseconds
86, 22, 7370 milliseconds
87, 22, 7327 milliseconds
88, 22, 7409 milliseconds
89, 22, 7208 milliseconds
90, 22, 7427 milliseconds
91, 22, 7384 milliseconds
92, 22, 7423 milliseconds
93, 22, 7136 milliseconds
94, 22, 7178 milliseconds
95, 22, 7118 milliseconds
96, 22, 7150 milliseconds
97, 22, 7169 milliseconds
98, 22, 7450 milliseconds
99, 22, 7309 milliseconds
100, 22, 7185 milliseconds
101, 22, 7307 milliseconds
102, 22, 7183 milliseconds
103, 22, 7244 milliseconds
104, 22, 7445 milliseconds
105, 22, 7250 milliseconds
106, 22, 7272 milliseconds
107, 22, 7391 milliseconds
108, 22, 7070 milliseconds
109, 22, 7340 milliseconds
110, 22, 7193 milliseconds
111, 22, 7307 milliseconds
112, 22, 7452 milliseconds
113, 22, 7207 milliseconds
114, 22, 7422 milliseconds
115, 22, 7384 milliseconds
116, 22, 7434 milliseconds
117, 22, 7282 milliseconds
118, 22, 7346 milliseconds
119, 22, 7214 milliseconds
120, 22, 7262 milliseconds
121, 22, 7296 milliseconds
122, 22, 7247 milliseconds
123, 22, 7659 milliseconds
124, 22, 7033 milliseconds
125, 22, 7109 milliseconds
126, 22, 7114 milliseconds
127, 22, 7063 milliseconds
128, 22, 6833 milliseconds
129, 22, 6954 milliseconds
130, 22, 7235 milliseconds
131, 22, 7235 milliseconds
132, 22, 7047 milliseconds
133, 22, 7018 milliseconds
134, 22, 7033 milliseconds
135, 22, 7024 milliseconds
136, 22, 7197 milliseconds
137, 22, 9296 milliseconds
138, 22, 8098 milliseconds
139, 22, 7667 milliseconds
140, 22, 7166 milliseconds
141, 22, 6128 milliseconds
142, 22, 6244 milliseconds
143, 22, 92140 milliseconds
144, 22, 6909 milliseconds
145, 22, 6326 milliseconds
146, 22, 6360 milliseconds
147, 22, 7192 milliseconds
148, 22, 6801 milliseconds
149, 22, 7302 milliseconds
150, 22, 6935 milliseconds
151, 22, 6180 milliseconds
152, 22, 7582 milliseconds
153, 22, 7940 milliseconds
154, 22, 7026 milliseconds
155, 22, 6311 milliseconds
156, 22, 10293 milliseconds
