Intance: BLAZ5,,
Generation,Optimal Value,Time
1, 39, 18313 milliseconds
2, 38, 18719 milliseconds
3, 37, 18172 milliseconds
4, 37, 18547 milliseconds
5, 37, 18467 milliseconds
6, 37, 18590 milliseconds
7, 37, 19166 milliseconds
8, 37, 18359 milliseconds
9, 37, 18760 milliseconds
10, 37, 18747 milliseconds
11, 37, 19116 milliseconds
12, 37, 18782 milliseconds
13, 37, 18734 milliseconds
14, 37, 18153 milliseconds
15, 37, 17364 milliseconds
16, 37, 17212 milliseconds
17, 37, 17939 milliseconds
18, 37, 17216 milliseconds
19, 37, 17054 milliseconds
20, 37, 16984 milliseconds
21, 37, 16962 milliseconds
22, 37, 16811 milliseconds
23, 37, 16931 milliseconds
24, 37, 17137 milliseconds
25, 37, 17168 milliseconds
26, 37, 17080 milliseconds
27, 37, 17242 milliseconds
28, 37, 16858 milliseconds
29, 37, 16917 milliseconds
30, 37, 16972 milliseconds
31, 37, 17224 milliseconds
32, 37, 16892 milliseconds
33, 37, 16872 milliseconds
34, 37, 16730 milliseconds
35, 37, 16962 milliseconds
36, 37, 16936 milliseconds
37, 37, 16559 milliseconds
38, 37, 16892 milliseconds
39, 37, 16920 milliseconds
40, 37, 16819 milliseconds
41, 37, 16867 milliseconds
42, 37, 16986 milliseconds
43, 37, 16777 milliseconds
44, 37, 16940 milliseconds
45, 37, 16787 milliseconds
46, 37, 17019 milliseconds
47, 37, 16728 milliseconds
48, 37, 16874 milliseconds
49, 37, 17021 milliseconds
50, 37, 16913 milliseconds
51, 37, 16979 milliseconds
52, 37, 16933 milliseconds
53, 37, 17065 milliseconds
54, 37, 16879 milliseconds
55, 37, 20071 milliseconds
56, 37, 20378 milliseconds
57, 37, 19867 milliseconds
58, 37, 17498 milliseconds
59, 37, 17005 milliseconds
60, 37, 16754 milliseconds
61, 37, 17756 milliseconds
62, 37, 16963 milliseconds
63, 37, 17296 milliseconds
64, 37, 17008 milliseconds
65, 37, 17320 milliseconds
66, 37, 16768 milliseconds
67, 37, 16693 milliseconds
68, 37, 16773 milliseconds
69, 37, 16710 milliseconds
70, 37, 16968 milliseconds
71, 37, 16812 milliseconds
72, 37, 16596 milliseconds
73, 37, 16886 milliseconds
74, 37, 16745 milliseconds
75, 37, 17007 milliseconds
76, 37, 18058 milliseconds
77, 37, 16890 milliseconds
78, 37, 16746 milliseconds
79, 37, 16899 milliseconds
80, 37, 16860 milliseconds
81, 37, 16850 milliseconds
82, 37, 17005 milliseconds
83, 37, 16866 milliseconds
84, 37, 16912 milliseconds
85, 37, 16883 milliseconds
86, 37, 16877 milliseconds
87, 37, 17225 milliseconds
88, 37, 16778 milliseconds
89, 37, 16741 milliseconds
90, 37, 16796 milliseconds
91, 37, 17087 milliseconds
92, 37, 16717 milliseconds
93, 37, 17077 milliseconds
94, 37, 16779 milliseconds
95, 37, 16873 milliseconds
96, 37, 16879 milliseconds
97, 37, 16934 milliseconds
98, 37, 16770 milliseconds
99, 37, 16948 milliseconds
100, 37, 19359 milliseconds
101, 37, 17078 milliseconds
102, 37, 16990 milliseconds
103, 37, 17086 milliseconds
104, 37, 16993 milliseconds
105, 37, 16927 milliseconds
106, 37, 16863 milliseconds
107, 37, 16971 milliseconds
108, 37, 16956 milliseconds
109, 37, 16999 milliseconds
110, 37, 16778 milliseconds
111, 37, 16813 milliseconds
112, 37, 16905 milliseconds
113, 37, 17191 milliseconds
114, 37, 17326 milliseconds
115, 37, 17375 milliseconds
116, 37, 17173 milliseconds
117, 37, 17113 milliseconds
118, 37, 17133 milliseconds
119, 37, 17228 milliseconds
120, 37, 17451 milliseconds
121, 37, 17349 milliseconds
122, 37, 17048 milliseconds
123, 37, 17302 milliseconds
124, 37, 17248 milliseconds
125, 37, 17257 milliseconds
126, 37, 17320 milliseconds
127, 37, 17430 milliseconds
128, 37, 17156 milliseconds
129, 37, 17160 milliseconds
130, 37, 17345 milliseconds
131, 37, 17246 milliseconds
132, 37, 17243 milliseconds
133, 37, 17169 milliseconds
134, 37, 17476 milliseconds
135, 37, 17816 milliseconds
136, 37, 17288 milliseconds
137, 37, 17389 milliseconds
138, 37, 17429 milliseconds
139, 37, 16900 milliseconds
140, 37, 17060 milliseconds
141, 37, 17437 milliseconds
142, 37, 17490 milliseconds
143, 37, 17314 milliseconds
144, 37, 17225 milliseconds
145, 37, 17145 milliseconds
146, 37, 17253 milliseconds
147, 37, 17346 milliseconds
148, 37, 17520 milliseconds
149, 37, 17962 milliseconds
150, 37, 17524 milliseconds
151, 37, 17343 milliseconds
152, 37, 17559 milliseconds
153, 37, 17047 milliseconds
154, 37, 17454 milliseconds
155, 29, 11858 milliseconds
156, 29, 11602 milliseconds
157, 29, 11799 milliseconds
158, 29, 11464 milliseconds
159, 29, 11757 milliseconds
160, 29, 11890 milliseconds
161, 29, 11721 milliseconds
162, 29, 11576 milliseconds
163, 29, 12728 milliseconds
164, 29, 11648 milliseconds
165, 29, 11628 milliseconds
166, 29, 11465 milliseconds
167, 29, 11528 milliseconds
168, 29, 11722 milliseconds
169, 29, 11489 milliseconds
170, 29, 11632 milliseconds
171, 29, 11435 milliseconds
172, 29, 11411 milliseconds
173, 29, 11451 milliseconds
174, 29, 11507 milliseconds
175, 29, 12454 milliseconds
176, 29, 12369 milliseconds
177, 29, 12014 milliseconds
178, 29, 12207 milliseconds
179, 29, 12163 milliseconds
180, 29, 12554 milliseconds
181, 29, 12967 milliseconds
182, 29, 12072 milliseconds
183, 29, 11925 milliseconds
184, 29, 12469 milliseconds
185, 29, 12128 milliseconds
186, 29, 12314 milliseconds
187, 29, 11069 milliseconds
188, 29, 11274 milliseconds
189, 29, 11169 milliseconds
190, 29, 10928 milliseconds
191, 29, 11040 milliseconds
192, 29, 10932 milliseconds
193, 29, 10768 milliseconds
194, 29, 11026 milliseconds
195, 29, 11292 milliseconds
196, 29, 11573 milliseconds
197, 29, 11327 milliseconds
198, 29, 11047 milliseconds
