Instance: RCO1,,
Generation,Optiomal Value,Time
1, 8, 760 milliseconds
2, 8, 572 milliseconds
3, 8, 589 milliseconds
4, 8, 580 milliseconds
5, 8, 572 milliseconds
6, 8, 577 milliseconds
7, 8, 562 milliseconds
8, 8, 596 milliseconds
9, 8, 580 milliseconds
10, 8, 566 milliseconds
11, 8, 574 milliseconds
12, 8, 570 milliseconds
13, 8, 580 milliseconds
14, 8, 588 milliseconds
15, 8, 572 milliseconds
16, 8, 571 milliseconds
17, 8, 571 milliseconds
18, 8, 575 milliseconds
19, 8, 578 milliseconds
20, 8, 581 milliseconds
21, 8, 566 milliseconds
22, 8, 582 milliseconds
23, 8, 571 milliseconds
24, 8, 575 milliseconds
25, 8, 575 milliseconds
26, 8, 596 milliseconds
27, 8, 566 milliseconds
28, 8, 572 milliseconds
29, 8, 563 milliseconds
30, 8, 576 milliseconds
31, 8, 597 milliseconds
32, 8, 591 milliseconds
33, 8, 568 milliseconds
34, 8, 578 milliseconds
35, 8, 568 milliseconds
36, 8, 566 milliseconds
37, 8, 769 milliseconds
38, 8, 615 milliseconds
39, 8, 587 milliseconds
40, 8, 584 milliseconds
41, 8, 578 milliseconds
42, 8, 583 milliseconds
43, 8, 560 milliseconds
44, 8, 575 milliseconds
45, 8, 578 milliseconds
46, 8, 578 milliseconds
47, 8, 574 milliseconds
48, 8, 600 milliseconds
49, 8, 561 milliseconds
50, 8, 579 milliseconds
51, 8, 582 milliseconds
52, 8, 576 milliseconds
53, 8, 579 milliseconds
54, 8, 574 milliseconds
55, 8, 591 milliseconds
56, 8, 582 milliseconds
57, 8, 575 milliseconds
58, 8, 581 milliseconds
59, 8, 569 milliseconds
60, 8, 566 milliseconds
61, 8, 579 milliseconds
62, 8, 579 milliseconds
63, 8, 577 milliseconds
64, 8, 575 milliseconds
65, 8, 577 milliseconds
66, 8, 573 milliseconds
67, 8, 578 milliseconds
68, 8, 575 milliseconds
69, 8, 575 milliseconds
70, 8, 585 milliseconds
71, 8, 581 milliseconds
72, 8, 590 milliseconds
73, 8, 574 milliseconds
74, 8, 573 milliseconds
75, 8, 576 milliseconds
76, 8, 563 milliseconds
77, 8, 585 milliseconds
78, 8, 579 milliseconds
79, 8, 571 milliseconds
80, 8, 581 milliseconds
81, 8, 579 milliseconds
82, 8, 569 milliseconds
83, 8, 567 milliseconds
84, 8, 570 milliseconds
85, 8, 575 milliseconds
86, 8, 576 milliseconds
87, 8, 572 milliseconds
88, 8, 585 milliseconds
89, 8, 580 milliseconds
90, 8, 558 milliseconds
91, 8, 582 milliseconds
92, 8, 569 milliseconds
93, 8, 578 milliseconds
94, 8, 568 milliseconds
95, 8, 571 milliseconds
96, 8, 632 milliseconds
97, 8, 600 milliseconds
98, 8, 600 milliseconds
99, 8, 566 milliseconds
100, 8, 583 milliseconds
101, 8, 568 milliseconds
102, 8, 569 milliseconds
103, 8, 606 milliseconds
104, 8, 576 milliseconds
105, 8, 591 milliseconds
106, 8, 576 milliseconds
107, 8, 580 milliseconds
108, 8, 575 milliseconds
109, 8, 574 milliseconds
110, 8, 570 milliseconds
111, 8, 578 milliseconds
112, 8, 580 milliseconds
113, 8, 557 milliseconds
114, 8, 570 milliseconds
115, 8, 582 milliseconds
116, 8, 570 milliseconds
117, 8, 570 milliseconds
118, 8, 579 milliseconds
119, 8, 564 milliseconds
120, 8, 582 milliseconds
121, 8, 619 milliseconds
122, 8, 580 milliseconds
123, 8, 570 milliseconds
124, 8, 575 milliseconds
125, 8, 587 milliseconds
126, 8, 578 milliseconds
127, 8, 589 milliseconds
128, 8, 571 milliseconds
129, 8, 578 milliseconds
130, 8, 582 milliseconds
131, 8, 585 milliseconds
132, 8, 577 milliseconds
133, 8, 570 milliseconds
134, 8, 577 milliseconds
135, 8, 601 milliseconds
136, 8, 600 milliseconds
137, 8, 583 milliseconds
138, 8, 579 milliseconds
139, 8, 578 milliseconds
140, 8, 587 milliseconds
141, 8, 578 milliseconds
142, 8, 586 milliseconds
143, 8, 571 milliseconds
144, 8, 573 milliseconds
145, 8, 575 milliseconds
146, 8, 800 milliseconds
147, 8, 637 milliseconds
148, 8, 596 milliseconds
149, 8, 609 milliseconds
150, 8, 599 milliseconds
151, 8, 590 milliseconds
