Instance: RCO5,,
Generation,Optimal Value,Time
1, 40, 19706 milliseconds
2, 40, 19837 milliseconds
3, 40, 20115 milliseconds
4, 40, 20125 milliseconds
5, 40, 20212 milliseconds
6, 40, 20278 milliseconds
7, 39, 20218 milliseconds
8, 39, 21056 milliseconds
9, 39, 20139 milliseconds
10, 39, 20325 milliseconds
11, 39, 20326 milliseconds
12, 39, 20153 milliseconds
13, 39, 20186 milliseconds
14, 39, 20438 milliseconds
15, 39, 20253 milliseconds
16, 39, 20983 milliseconds
17, 39, 20819 milliseconds
18, 39, 20215 milliseconds
19, 39, 20329 milliseconds
20, 39, 20008 milliseconds
21, 39, 19621 milliseconds
22, 38, 20170 milliseconds
23, 38, 20417 milliseconds
24, 38, 20248 milliseconds
25, 38, 20075 milliseconds
26, 38, 19826 milliseconds
27, 38, 19885 milliseconds
28, 38, 19790 milliseconds
29, 38, 20090 milliseconds
30, 38, 19806 milliseconds
31, 38, 20107 milliseconds
32, 38, 19898 milliseconds
33, 38, 21841 milliseconds
34, 38, 19840 milliseconds
35, 38, 20084 milliseconds
36, 38, 19994 milliseconds
37, 38, 19763 milliseconds
38, 38, 19874 milliseconds
39, 38, 19831 milliseconds
40, 38, 19739 milliseconds
41, 38, 19989 milliseconds
42, 38, 19718 milliseconds
43, 38, 19762 milliseconds
44, 38, 19889 milliseconds
45, 38, 20054 milliseconds
46, 38, 19915 milliseconds
47, 38, 20023 milliseconds
48, 38, 19809 milliseconds
49, 38, 19799 milliseconds
50, 38, 20119 milliseconds
51, 38, 19795 milliseconds
52, 38, 19784 milliseconds
53, 38, 19998 milliseconds
54, 38, 19990 milliseconds
55, 38, 19886 milliseconds
56, 38, 19976 milliseconds
57, 38, 19894 milliseconds
58, 38, 20221 milliseconds
59, 38, 19934 milliseconds
60, 38, 19861 milliseconds
61, 38, 21783 milliseconds
62, 38, 20720 milliseconds
63, 38, 21900 milliseconds
64, 38, 21311 milliseconds
65, 38, 20361 milliseconds
66, 38, 20176 milliseconds
67, 38, 20376 milliseconds
68, 38, 20507 milliseconds
69, 38, 20515 milliseconds
70, 38, 20516 milliseconds
71, 38, 21105 milliseconds
72, 38, 21090 milliseconds
73, 38, 20933 milliseconds
74, 38, 20891 milliseconds
75, 38, 20511 milliseconds
76, 38, 20373 milliseconds
77, 38, 20138 milliseconds
78, 38, 20330 milliseconds
79, 38, 20705 milliseconds
80, 38, 20514 milliseconds
81, 38, 20279 milliseconds
82, 38, 23056 milliseconds
83, 38, 22802 milliseconds
84, 38, 22816 milliseconds
85, 38, 22790 milliseconds
86, 38, 22981 milliseconds
87, 38, 24873 milliseconds
88, 38, 23492 milliseconds
89, 38, 22888 milliseconds
90, 38, 23435 milliseconds
91, 38, 23062 milliseconds
92, 38, 25032 milliseconds
93, 38, 23889 milliseconds
94, 38, 23623 milliseconds
95, 38, 23378 milliseconds
96, 38, 23611 milliseconds
97, 38, 23226 milliseconds
98, 38, 20235 milliseconds
99, 38, 18946 milliseconds
100, 38, 18823 milliseconds
101, 38, 19053 milliseconds
102, 38, 19384 milliseconds
103, 38, 18491 milliseconds
104, 38, 18870 milliseconds
105, 38, 19141 milliseconds
106, 38, 19022 milliseconds
107, 38, 18615 milliseconds
108, 38, 18706 milliseconds
109, 38, 18806 milliseconds
110, 38, 18805 milliseconds
111, 38, 18802 milliseconds
112, 38, 18792 milliseconds
113, 38, 18734 milliseconds
114, 38, 19037 milliseconds
115, 38, 18534 milliseconds
116, 38, 18356 milliseconds
117, 38, 18828 milliseconds
118, 38, 18479 milliseconds
119, 38, 18776 milliseconds
120, 38, 18560 milliseconds
121, 38, 18810 milliseconds
122, 38, 18526 milliseconds
123, 38, 19175 milliseconds
124, 38, 19029 milliseconds
125, 38, 18625 milliseconds
126, 38, 18794 milliseconds
127, 38, 19247 milliseconds
128, 38, 18614 milliseconds
129, 38, 18742 milliseconds
130, 38, 18946 milliseconds
131, 38, 18642 milliseconds
132, 38, 18701 milliseconds
133, 38, 18981 milliseconds
134, 38, 18903 milliseconds
135, 38, 18741 milliseconds
136, 38, 18844 milliseconds
137, 38, 19121 milliseconds
138, 38, 18999 milliseconds
139, 38, 18872 milliseconds
140, 38, 19334 milliseconds
141, 38, 18609 milliseconds
142, 38, 18670 milliseconds
143, 38, 19012 milliseconds
144, 38, 18514 milliseconds
145, 38, 19005 milliseconds
146, 38, 21121 milliseconds
147, 38, 18660 milliseconds
148, 38, 18802 milliseconds
149, 38, 18890 milliseconds
150, 38, 19202 milliseconds
151, 38, 19526 milliseconds
152, 38, 18936 milliseconds
153, 38, 18958 milliseconds
154, 38, 18655 milliseconds
155, 38, 19051 milliseconds
156, 38, 19375 milliseconds
157, 38, 19222 milliseconds
158, 38, 19026 milliseconds
159, 38, 19319 milliseconds
160, 38, 19136 milliseconds
161, 38, 19306 milliseconds
162, 38, 19607 milliseconds
163, 38, 18980 milliseconds
164, 38, 18750 milliseconds
165, 38, 19163 milliseconds
166, 38, 18986 milliseconds
167, 38, 18769 milliseconds
168, 38, 19174 milliseconds
169, 38, 18922 milliseconds
170, 38, 18835 milliseconds
171, 38, 19078 milliseconds
172, 38, 19140 milliseconds
173, 38, 19058 milliseconds
