Instance: SHAPES5,,
Generation,Optiomal Value,Time
1, 32, 48551 milliseconds
2, 32, 52280 milliseconds
3, 32, 50376 milliseconds
4, 32, 51451 milliseconds
5, 32, 50438 milliseconds
6, 32, 50711 milliseconds
7, 32, 51896 milliseconds
8, 32, 48301 milliseconds
9, 32, 51927 milliseconds
10, 32, 48072 milliseconds
11, 31, 52431 milliseconds
12, 31, 47479 milliseconds
13, 31, 63718 milliseconds
14, 31, 48165 milliseconds
15, 31, 52297 milliseconds
16, 31, 49654 milliseconds
17, 31, 51605 milliseconds
18, 31, 50537 milliseconds
19, 31, 50813 milliseconds
20, 31, 51570 milliseconds
21, 31, 50357 milliseconds
22, 31, 53031 milliseconds
23, 31, 49315 milliseconds
24, 31, 54157 milliseconds
25, 31, 48229 milliseconds
26, 31, 53126 milliseconds
27, 31, 48565 milliseconds
28, 31, 52303 milliseconds
29, 31, 49118 milliseconds
30, 31, 52315 milliseconds
31, 31, 49883 milliseconds
32, 31, 52161 milliseconds
33, 31, 50639 milliseconds
34, 31, 50727 milliseconds
35, 31, 54263 milliseconds
36, 31, 51397 milliseconds
37, 31, 52952 milliseconds
38, 31, 50473 milliseconds
39, 31, 53779 milliseconds
40, 31, 50174 milliseconds
41, 31, 53130 milliseconds
42, 31, 48987 milliseconds
43, 31, 53084 milliseconds
44, 31, 47135 milliseconds
45, 31, 52485 milliseconds
46, 31, 46920 milliseconds
47, 31, 52735 milliseconds
48, 31, 50106 milliseconds
49, 30, 52898 milliseconds
50, 30, 51171 milliseconds
51, 30, 50261 milliseconds
52, 30, 50524 milliseconds
53, 30, 49425 milliseconds
54, 30, 50618 milliseconds
55, 30, 48895 milliseconds
56, 30, 51132 milliseconds
57, 30, 48362 milliseconds
58, 30, 51600 milliseconds
59, 30, 48441 milliseconds
60, 30, 52839 milliseconds
61, 30, 47055 milliseconds
62, 30, 56171 milliseconds
63, 30, 48692 milliseconds
64, 30, 52657 milliseconds
65, 30, 49437 milliseconds
66, 30, 53066 milliseconds
67, 30, 49745 milliseconds
68, 30, 51121 milliseconds
69, 30, 51562 milliseconds
70, 30, 51309 milliseconds
71, 30, 52339 milliseconds
72, 30, 50918 milliseconds
73, 30, 52870 milliseconds
74, 30, 49320 milliseconds
75, 30, 53331 milliseconds
76, 30, 48925 milliseconds
77, 30, 53617 milliseconds
78, 30, 48613 milliseconds
79, 30, 53638 milliseconds
80, 30, 48982 milliseconds
81, 30, 53050 milliseconds
82, 30, 49991 milliseconds
83, 30, 51610 milliseconds
84, 30, 50878 milliseconds
85, 30, 51984 milliseconds
86, 30, 52214 milliseconds
87, 30, 50155 milliseconds
88, 30, 51877 milliseconds
89, 30, 48993 milliseconds
90, 30, 52047 milliseconds
91, 30, 48059 milliseconds
92, 30, 52796 milliseconds
93, 30, 47809 milliseconds
94, 30, 53066 milliseconds
95, 30, 48937 milliseconds
96, 30, 53712 milliseconds
97, 30, 48110 milliseconds
98, 30, 52413 milliseconds
99, 30, 49915 milliseconds
100, 30, 52094 milliseconds
101, 30, 50099 milliseconds
102, 30, 49977 milliseconds
103, 30, 50315 milliseconds
104, 30, 49096 milliseconds
105, 30, 50981 milliseconds
106, 30, 48723 milliseconds
107, 30, 51980 milliseconds
108, 30, 48590 milliseconds
109, 30, 52570 milliseconds
110, 30, 48508 milliseconds
111, 30, 52881 milliseconds
112, 30, 47406 milliseconds
113, 30, 51513 milliseconds
114, 30, 48519 milliseconds
115, 30, 51488 milliseconds
116, 30, 49190 milliseconds
117, 30, 49505 milliseconds
118, 30, 50347 milliseconds
119, 30, 49878 milliseconds
120, 30, 51061 milliseconds
121, 30, 49691 milliseconds
122, 30, 52221 milliseconds
123, 30, 48753 milliseconds
124, 30, 52602 milliseconds
125, 30, 47796 milliseconds
126, 30, 53329 milliseconds
127, 30, 49021 milliseconds
128, 30, 53349 milliseconds
129, 30, 49078 milliseconds
130, 30, 53036 milliseconds
131, 30, 50536 milliseconds
132, 30, 52614 milliseconds
133, 30, 50824 milliseconds
134, 30, 51119 milliseconds
135, 30, 51767 milliseconds
136, 30, 50300 milliseconds
137, 30, 51923 milliseconds
138, 30, 48779 milliseconds
139, 30, 52407 milliseconds
140, 30, 48250 milliseconds
141, 30, 52096 milliseconds
142, 30, 48144 milliseconds
143, 30, 52688 milliseconds
144, 30, 46964 milliseconds
145, 30, 52678 milliseconds
146, 30, 48277 milliseconds
147, 30, 52003 milliseconds
148, 30, 49039 milliseconds
149, 30, 51139 milliseconds
150, 30, 49494 milliseconds
151, 30, 49748 milliseconds
152, 30, 50352 milliseconds
153, 30, 50164 milliseconds
154, 30, 50954 milliseconds
155, 30, 49087 milliseconds
156, 30, 52061 milliseconds
157, 30, 48927 milliseconds
158, 30, 52423 milliseconds
159, 30, 48231 milliseconds
160, 30, 52539 milliseconds
161, 30, 46768 milliseconds
162, 30, 53012 milliseconds
163, 30, 47788 milliseconds
164, 30, 53277 milliseconds
165, 30, 49833 milliseconds
166, 30, 52837 milliseconds
167, 30, 50398 milliseconds
168, 30, 52220 milliseconds
169, 30, 51199 milliseconds
170, 30, 51346 milliseconds
171, 30, 52328 milliseconds
172, 30, 50419 milliseconds
173, 30, 52591 milliseconds
174, 30, 50426 milliseconds
175, 30, 52626 milliseconds
176, 30, 49701 milliseconds
177, 30, 53731 milliseconds
178, 30, 49309 milliseconds
179, 30, 54416 milliseconds
180, 30, 49073 milliseconds
181, 30, 53525 milliseconds
182, 30, 49084 milliseconds
183, 30, 53059 milliseconds
184, 30, 49668 milliseconds
185, 30, 51815 milliseconds
186, 30, 50304 milliseconds
187, 30, 51732 milliseconds
188, 30, 51378 milliseconds
189, 30, 51049 milliseconds
190, 30, 52295 milliseconds
191, 30, 50501 milliseconds
192, 30, 53335 milliseconds
193, 30, 50086 milliseconds
194, 30, 52769 milliseconds
195, 30, 50069 milliseconds
196, 30, 53790 milliseconds
197, 30, 48994 milliseconds
198, 30, 53682 milliseconds
199, 30, 49325 milliseconds
200, 30, 53783 milliseconds
