Instance: BLAZ4,,
Generation,Optiomal Value,Time
1, 30, 11446 milliseconds
2, 30, 11223 milliseconds
3, 30, 11495 milliseconds
4, 30, 11610 milliseconds
5, 30, 11369 milliseconds
6, 30, 11240 milliseconds
7, 30, 11140 milliseconds
8, 30, 11150 milliseconds
9, 30, 11262 milliseconds
10, 30, 11274 milliseconds
11, 30, 12031 milliseconds
12, 30, 12229 milliseconds
13, 30, 11657 milliseconds
14, 30, 11865 milliseconds
15, 30, 11759 milliseconds
16, 30, 12005 milliseconds
17, 30, 11702 milliseconds
18, 30, 11656 milliseconds
19, 30, 11667 milliseconds
20, 30, 11546 milliseconds
21, 30, 11661 milliseconds
22, 30, 11520 milliseconds
23, 30, 11445 milliseconds
24, 30, 11427 milliseconds
25, 30, 11589 milliseconds
26, 30, 11502 milliseconds
27, 30, 11671 milliseconds
28, 30, 11396 milliseconds
29, 30, 11507 milliseconds
30, 30, 11557 milliseconds
31, 30, 11675 milliseconds
32, 30, 11553 milliseconds
33, 30, 11669 milliseconds
34, 30, 11644 milliseconds
35, 30, 11632 milliseconds
36, 30, 11444 milliseconds
37, 30, 12332 milliseconds
38, 30, 11528 milliseconds
39, 30, 11622 milliseconds
40, 30, 11512 milliseconds
41, 30, 11675 milliseconds
42, 30, 11832 milliseconds
43, 30, 11482 milliseconds
44, 30, 11676 milliseconds
45, 30, 11754 milliseconds
46, 30, 11659 milliseconds
47, 29, 11897 milliseconds
48, 29, 11815 milliseconds
49, 29, 11262 milliseconds
50, 29, 11282 milliseconds
51, 29, 11091 milliseconds
52, 29, 11137 milliseconds
53, 29, 11424 milliseconds
54, 29, 11503 milliseconds
55, 29, 11149 milliseconds
56, 29, 11366 milliseconds
57, 29, 11051 milliseconds
58, 29, 11473 milliseconds
59, 29, 11030 milliseconds
60, 29, 11129 milliseconds
61, 29, 11354 milliseconds
62, 29, 11375 milliseconds
63, 29, 11325 milliseconds
64, 29, 11175 milliseconds
65, 29, 11306 milliseconds
66, 29, 11027 milliseconds
67, 29, 11295 milliseconds
68, 29, 11027 milliseconds
69, 29, 11388 milliseconds
70, 29, 11370 milliseconds
71, 29, 11341 milliseconds
72, 29, 11066 milliseconds
73, 29, 11189 milliseconds
74, 29, 11446 milliseconds
75, 29, 11319 milliseconds
76, 29, 11289 milliseconds
77, 29, 11232 milliseconds
78, 29, 11178 milliseconds
79, 29, 11408 milliseconds
80, 29, 11312 milliseconds
81, 29, 11405 milliseconds
82, 29, 11370 milliseconds
83, 29, 11127 milliseconds
84, 29, 11949 milliseconds
85, 29, 11372 milliseconds
86, 29, 11152 milliseconds
87, 29, 12354 milliseconds
88, 29, 14302 milliseconds
89, 29, 14618 milliseconds
90, 29, 13505 milliseconds
91, 29, 11976 milliseconds
92, 29, 12157 milliseconds
93, 29, 12338 milliseconds
94, 29, 12022 milliseconds
95, 29, 11739 milliseconds
96, 29, 11917 milliseconds
97, 29, 12269 milliseconds
98, 29, 11913 milliseconds
99, 29, 11633 milliseconds
100, 29, 11445 milliseconds
101, 29, 11626 milliseconds
102, 29, 11401 milliseconds
103, 29, 11568 milliseconds
104, 29, 11583 milliseconds
105, 29, 11922 milliseconds
106, 29, 11898 milliseconds
107, 29, 11238 milliseconds
108, 29, 11591 milliseconds
109, 29, 11720 milliseconds
110, 29, 13143 milliseconds
111, 29, 12052 milliseconds
112, 29, 11348 milliseconds
113, 29, 11568 milliseconds
114, 29, 11713 milliseconds
115, 29, 11785 milliseconds
116, 29, 11638 milliseconds
117, 29, 11505 milliseconds
118, 29, 11416 milliseconds
119, 29, 12058 milliseconds
120, 29, 12267 milliseconds
121, 29, 11913 milliseconds
122, 29, 11882 milliseconds
123, 29, 13646 milliseconds
124, 29, 12099 milliseconds
125, 29, 12036 milliseconds
126, 29, 11882 milliseconds
127, 29, 12208 milliseconds
128, 29, 12497 milliseconds
129, 29, 12301 milliseconds
130, 29, 12131 milliseconds
131, 29, 11919 milliseconds
132, 29, 12077 milliseconds
133, 29, 11938 milliseconds
134, 29, 12338 milliseconds
135, 29, 12264 milliseconds
136, 29, 12150 milliseconds
137, 29, 12354 milliseconds
138, 29, 12240 milliseconds
139, 29, 11890 milliseconds
140, 29, 12349 milliseconds
141, 29, 11914 milliseconds
142, 29, 12001 milliseconds
143, 29, 11940 milliseconds
144, 29, 11993 milliseconds
145, 29, 11961 milliseconds
146, 29, 11571 milliseconds
147, 29, 11389 milliseconds
148, 29, 11587 milliseconds
149, 29, 11781 milliseconds
150, 29, 11714 milliseconds
151, 29, 11524 milliseconds
152, 29, 11776 milliseconds
153, 29, 11781 milliseconds
154, 29, 11590 milliseconds
155, 29, 11858 milliseconds
156, 29, 11602 milliseconds
157, 29, 11799 milliseconds
158, 29, 11464 milliseconds
159, 29, 11757 milliseconds
160, 29, 11890 milliseconds
161, 29, 11721 milliseconds
162, 29, 11576 milliseconds
163, 29, 12728 milliseconds
164, 29, 11648 milliseconds
165, 29, 11628 milliseconds
166, 29, 11465 milliseconds
167, 29, 11528 milliseconds
168, 29, 11722 milliseconds
169, 29, 11489 milliseconds
170, 29, 11632 milliseconds
171, 29, 11435 milliseconds
172, 29, 11411 milliseconds
173, 29, 11451 milliseconds
174, 29, 11507 milliseconds
175, 29, 12454 milliseconds
176, 29, 12369 milliseconds
177, 29, 12014 milliseconds
178, 29, 12207 milliseconds
179, 29, 12163 milliseconds
180, 29, 12554 milliseconds
181, 29, 12967 milliseconds
182, 29, 12072 milliseconds
183, 29, 11925 milliseconds
184, 29, 12469 milliseconds
185, 29, 12128 milliseconds
186, 29, 12314 milliseconds
187, 29, 11069 milliseconds
188, 29, 11274 milliseconds
189, 29, 11169 milliseconds
190, 29, 10928 milliseconds
191, 29, 11040 milliseconds
192, 29, 10932 milliseconds
193, 29, 10768 milliseconds
194, 29, 11026 milliseconds
195, 29, 11292 milliseconds
196, 29, 11573 milliseconds
197, 29, 11327 milliseconds
198, 29, 11047 milliseconds
