Instance: RCO3,
Generation,Optiomal Value,Time
1, 24, 8112 milliseconds
2, 24, 8214 milliseconds
3, 24, 8006 milliseconds
4, 24, 7917 milliseconds
5, 24, 8075 milliseconds
6, 24, 8303 milliseconds
7, 23, 8199 milliseconds
8, 23, 8528 milliseconds
9, 23, 7954 milliseconds
10, 23, 7981 milliseconds
11, 23, 7968 milliseconds
12, 23, 7909 milliseconds
13, 23, 8119 milliseconds
14, 23, 8048 milliseconds
15, 23, 7882 milliseconds
16, 23, 8005 milliseconds
17, 23, 8081 milliseconds
18, 23, 8238 milliseconds
19, 23, 8317 milliseconds
20, 23, 8262 milliseconds
21, 23, 8273 milliseconds
22, 23, 7967 milliseconds
23, 23, 7834 milliseconds
24, 23, 8903 milliseconds
25, 23, 7931 milliseconds
26, 23, 8060 milliseconds
27, 23, 8268 milliseconds
28, 23, 8073 milliseconds
29, 23, 8069 milliseconds
30, 23, 7847 milliseconds
31, 23, 9590 milliseconds
32, 23, 8214 milliseconds
33, 23, 7872 milliseconds
34, 23, 8022 milliseconds
35, 23, 8567 milliseconds
36, 23, 8188 milliseconds
37, 23, 8036 milliseconds
38, 23, 7989 milliseconds
39, 23, 7985 milliseconds
40, 23, 7995 milliseconds
41, 23, 7773 milliseconds
42, 23, 7945 milliseconds
43, 23, 8077 milliseconds
44, 23, 7840 milliseconds
45, 23, 8144 milliseconds
46, 23, 7847 milliseconds
47, 23, 8275 milliseconds
48, 23, 8549 milliseconds
49, 23, 8130 milliseconds
50, 23, 8313 milliseconds
51, 23, 8114 milliseconds
52, 23, 7986 milliseconds
53, 23, 8148 milliseconds
54, 23, 8106 milliseconds
55, 23, 7913 milliseconds
56, 23, 7965 milliseconds
57, 23, 8338 milliseconds
58, 23, 8415 milliseconds
59, 23, 7957 milliseconds
60, 23, 8308 milliseconds
61, 23, 8037 milliseconds
62, 23, 8129 milliseconds
63, 23, 8137 milliseconds
64, 23, 9253 milliseconds
65, 23, 10753 milliseconds
66, 23, 11381 milliseconds
67, 23, 10306 milliseconds
68, 23, 9176 milliseconds
69, 23, 8528 milliseconds
70, 23, 8157 milliseconds
71, 23, 7865 milliseconds
72, 23, 8191 milliseconds
73, 23, 7734 milliseconds
